nodenumber,x-coordinate,y-coordinate,z-coordinate,x-velocity,y-velocity,z-velocity,temperature
1,0.000000,0.000000,0.000000,0.475032,0.913903,0.117050,303.511834
2,0.050000,0.030000,0.000000,0.640385,0.842979,0.149395,304.311834
3,0.100000,0.060000,0.000000,0.780209,0.753123,0.180248,305.111834
4,0.150000,0.090000,0.000000,0.888928,0.646354,0.209299,305.911834
5,0.200000,0.000000,0.020000,0.962209,0.525069,0.236259,306.711834
6,0.250000,0.030000,0.020000,0.997129,0.391992,0.260859,307.511834
7,0.300000,0.060000,0.020000,0.992297,0.250112,0.282852,308.311834
8,0.350000,0.090000,0.020000,0.947905,0.102615,0.302019,309.111834
9,0.400000,0.000000,0.040000,0.865723,-0.047186,0.318168,309.911834
10,0.450000,0.030000,0.040000,0.749027,-0.195928,0.331138,310.711834
11,0.500000,0.060000,0.040000,0.602470,-0.340270,0.340799,311.511834
12,0.550000,0.090000,0.040000,0.431895,-0.476970,0.347056,312.311834
