nodenumber,x-coordinate,y-coordinate,z-coordinate,x-velocity,y-velocity,z-velocity,temperature
1,0.000000,0.000000,0.000000,0.455114,0.921450,0.111924,303.356612
2,0.050000,0.030000,0.000000,0.622944,0.853047,0.144472,304.156612
3,0.100000,0.060000,0.000000,0.765939,0.765486,0.175576,304.956612
4,0.150000,0.090000,0.000000,0.878398,0.660734,0.204926,305.756612
5,0.200000,0.000000,0.020000,0.955839,0.541144,0.232228,306.556612
6,0.250000,0.030000,0.020000,0.995173,0.409400,0.257210,307.356612
7,0.300000,0.060000,0.020000,0.994833,0.268462,0.279623,308.156612
8,0.350000,0.090000,0.020000,0.954832,0.121495,0.299241,308.956612
9,0.400000,0.000000,0.040000,0.876765,-0.028200,0.315869,309.756612
10,0.450000,0.030000,0.040000,0.763744,-0.177262,0.329341,310.556612
11,0.500000,0.060000,0.040000,0.620275,-0.322343,0.339523,311.356612
12,0.550000,0.090000,0.040000,0.452077,-0.460185,0.346312,312.156612
