nodenumber,x-coordinate,y-coordinate,z-coordinate,x-velocity,y-velocity,z-velocity,temperature
1,0.000000,0.000000,0.000000,0.434966,0.928665,0.106771,303.200777
2,0.050000,0.030000,0.000000,0.605186,0.862807,0.139513,304.000777
3,0.100000,0.060000,0.000000,0.751280,0.777573,0.170862,304.800777
4,0.150000,0.090000,0.000000,0.867423,0.674876,0.200504,305.600777
5,0.200000,0.000000,0.020000,0.948985,0.557023,0.228142,306.400777
6,0.250000,0.030000,0.020000,0.992713,0.426660,0.253501,307.200777
7,0.300000,0.060000,0.020000,0.996865,0.286715,0.276326,308.000777
8,0.350000,0.090000,0.020000,0.961275,0.140332,0.296391,308.800777
9,0.400000,0.000000,0.040000,0.887362,-0.009204,0.313495,309.600777
10,0.450000,0.030000,0.040000,0.778073,-0.158532,0.327466,310.400777
11,0.500000,0.060000,0.040000,0.637765,-0.304300,0.338165,311.200777
12,0.550000,0.090000,0.040000,0.472031,-0.443234,0.345485,312.000777
