nodenumber,x-coordinate,y-coordinate,z-coordinate,x-velocity,y-velocity,z-velocity,temperature
1,0.000000,0.000000,0.000000,0.570817,0.871276,0.142237,304.277786
2,0.050000,0.030000,0.000000,0.722561,0.788149,0.173452,305.077786
3,0.100000,0.060000,0.000000,0.845500,0.687322,0.202935,305.877786
4,0.150000,0.090000,0.000000,0.934731,0.571060,0.230390,306.677786
5,0.200000,0.000000,0.020000,0.986697,0.441972,0.255543,307.477786
6,0.250000,0.030000,0.020000,0.999326,0.302959,0.278142,308.277786
7,0.300000,0.060000,0.020000,0.972116,0.157142,0.297963,309.077786
8,0.350000,0.090000,0.020000,0.906151,0.007796,0.314806,309.877786
9,0.400000,0.000000,0.040000,0.804060,-0.141725,0.328504,310.677786
10,0.450000,0.030000,0.040000,0.669914,-0.288063,0.338920,311.477786
11,0.500000,0.060000,0.040000,0.509060,-0.427932,0.345949,312.277786
12,0.550000,0.090000,0.040000,0.327912,-0.558191,0.349522,313.077786
