nodenumber,x-coordinate,y-coordinate,z-coordinate,x-velocity,y-velocity,z-velocity,temperature
1,0.000000,0.000000,0.000000,0.533303,0.889293,0.132256,303.973550
2,0.050000,0.030000,0.000000,0.690731,0.810963,0.163947,304.773550
3,0.100000,0.060000,0.000000,0.820623,0.714421,0.193999,305.573550
4,0.150000,0.090000,0.000000,0.917799,0.601835,0.222112,306.373550
5,0.200000,0.000000,0.020000,0.978385,0.475732,0.248007,307.173550
6,0.250000,0.030000,0.020000,0.999966,0.338946,0.271424,307.973550
7,0.300000,0.060000,0.020000,0.981681,0.194548,0.292128,308.773550
8,0.350000,0.090000,0.020000,0.924260,0.045780,0.309914,309.573550
9,0.400000,0.000000,0.040000,0.829992,-0.104015,0.324603,310.373550
10,0.450000,0.030000,0.040000,0.702634,-0.251475,0.336049,311.173550
11,0.500000,0.060000,0.040000,0.547265,-0.393287,0.344137,311.973550
12,0.550000,0.090000,0.040000,0.370078,-0.526266,0.348787,312.773550
