nodenumber,x-coordinate,y-coordinate,z-coordinate,x-velocity,y-velocity,z-velocity,temperature
1,0.000000,0.000000,0.000000,0.552199,0.880443,0.137263,304.126044
2,0.050000,0.030000,0.000000,0.706825,0.799701,0.168720,304.926044
3,0.100000,0.060000,0.000000,0.833272,0.700998,0.198491,305.726044
4,0.150000,0.090000,0.000000,0.926499,0.586553,0.226278,306.526044
5,0.200000,0.000000,0.020000,0.982789,0.458935,0.251805,307.326044
6,0.250000,0.030000,0.020000,0.999899,0.321011,0.274816,308.126044
7,0.300000,0.060000,0.020000,0.977146,0.175877,0.295081,308.926044
8,0.350000,0.090000,0.020000,0.915437,0.026793,0.312397,309.726044
9,0.400000,0.000000,0.040000,0.817233,-0.122892,0.326593,310.526044
10,0.450000,0.030000,0.040000,0.686448,-0.269818,0.337525,311.326044
11,0.500000,0.060000,0.040000,0.528296,-0.410684,0.345084,312.126044
12,0.550000,0.090000,0.040000,0.349083,-0.542326,0.349196,312.926044
