nodenumber,x-coordinate,y-coordinate,z-coordinate,x-velocity,y-velocity,z-velocity,temperature
1,0.000000,0.000000,0.000000,0.514136,0.897821,0.127218,303.820332
2,0.050000,0.030000,0.000000,0.674288,0.821933,0.159134,304.620332
3,0.100000,0.060000,0.000000,0.807558,0.727586,0.189460,305.420332
4,0.150000,0.090000,0.000000,0.908633,0.616899,0.217893,306.220332
5,0.200000,0.000000,0.020000,0.973485,0.492358,0.244149,307.020332
6,0.250000,0.030000,0.020000,0.999526,0.356759,0.267966,307.820332
7,0.300000,0.060000,0.020000,0.985719,0.213148,0.289105,308.620332
8,0.350000,0.090000,0.020000,0.932615,0.064751,0.307356,309.420332
9,0.400000,0.000000,0.040000,0.842330,-0.085101,0.322535,310.220332
10,0.450000,0.030000,0.040000,0.718465,-0.233041,0.334492,311.020332
11,0.500000,0.060000,0.040000,0.565956,-0.375748,0.343107,311.820332
12,0.550000,0.090000,0.040000,0.390885,-0.510016,0.348293,312.620332
